Model,Experiment,Prompt_Version,MTE_Mean,MTE_Std,MTE_Mean_Last_10s,MTE_Std_Last_10s
gemma4_e4b,Cluttered_tabletop_custom,v2,0.058,0.045,0.050,0.025
gemma4_31b,Cluttered_tabletop_custom,v2,0.324,0.08,0.319,0.080
qwen3.5_9b,Cluttered_tabletop_custom,v2,,,,
qwen3.5_27b,Cluttered_tabletop_custom,v2,0.16,0.03,0.155,0.019
qwen3.5_35b,Cluttered_tabletop_custom,v2,,,,
llama3.1_latest,Cluttered_tabletop_custom,v1,0.608,0.057,0.617,0.040
llama3.1_8b,Cluttered_tabletop_custom,v1,0.355,0.041,0.356,0.042
llama3.1_70b,Cluttered_tabletop_custom,v1,0.043,0.048,0.034,0.022
gemma4_e4b,Cluttered_tabletop_custom,v1,0.226,0.02,0.223,0.015
gemma4_31b,Cluttered_tabletop_custom,v1,0.216,0.085,0.197,0.062
qwen3.5_9b,Cluttered_tabletop_custom,v1,,,,
qwen3.5_27b,Cluttered_tabletop_custom,v1,0.421,0.06,0.422,0.056
qwen3.5_35b,Cluttered_tabletop_custom,v1,,,,
llama3.1_latest,Cluttered_tabletop_custom,v1.5,0.176,0.058,0.171,0.057
llama3.1_8b,Cluttered_tabletop_custom,v1.5,0.123,0.047,0.116,0.041
llama3.1_70b,Cluttered_tabletop_custom,v1.5,0.335,0.039,0.332,0.038
gemma4_e4b,Cluttered_tabletop_custom,v1.5,0.255,0.087,0.239,0.070
gemma4_31b,Cluttered_tabletop_custom,v1.5,0.071,0.037,0.063,0.002
qwen3.5_9b,Cluttered_tabletop_custom,v1.5,,,,
qwen3.5_27b,Cluttered_tabletop_custom,v1.5,0.043,0.048,0.033,0.023
qwen3.5_35b,Cluttered_tabletop_custom,v1.5,,,,
llama3.1_latest,Cluttered_tabletop_custom,pnp,0.363,0.038,0.357,0.031
llama3.1_8b,Cluttered_tabletop_custom,pnp,0.348,0.04,0.343,0.033
llama3.1_70b,Cluttered_tabletop_custom,pnp,0.219,0.056,0.206,0.031
gemma4_e4b,Cluttered_tabletop_custom,pnp,0.025,0.074,0.007,0.005
gemma4_31b,Cluttered_tabletop_custom,pnp,0.025,0.074,0.007,0.005
qwen3.5_9b,Cluttered_tabletop_custom,pnp,,,,
qwen3.5_27b,Cluttered_tabletop_custom,pnp,0.025,0.074,0.007,0.005
qwen3.5_35b,Cluttered_tabletop_custom,pnp,0.025,0.074,0.007,0.005
llama3.1_latest,Cluttered_tabletop,v2,0.02,0.067,0.004,0.003
llama3.1_8b,Cluttered_tabletop,v2,0.02,0.067,0.004,0.003
llama3.1_70b,Cluttered_tabletop,v2,0.022,0.068,0.006,0.004
gemma4_e4b,Cluttered_tabletop,v2,0.474,0.072,0.478,0.074
gemma4_31b,Cluttered_tabletop,v2,0.387,0.076,0.382,0.077
qwen3.5_9b,Cluttered_tabletop,v2,,,,
qwen3.5_27b,Cluttered_tabletop,v2,0.475,0.073,0.480,0.075
qwen3.5_35b,Cluttered_tabletop,v2,,,,
llama3.1_latest,Cluttered_tabletop,v1,0.493,0.072,0.495,0.075
llama3.1_8b,Cluttered_tabletop,v1,0.271,0.045,0.273,0.038
llama3.1_70b,Cluttered_tabletop,v1,0.168,0.079,0.163,0.071
gemma4_e4b,Cluttered_tabletop,v1,0.069,0.068,0.059,0.035
